Date,Site,Station_Depth_m,Sample_Depth_m,Sample_Depth_category,Arrival_Time,Departure_Time,Lat_deg,Long_deg,Wind_speed_knots,Wave_Ht_ft,Sky,Secchi_Depth_m,Temp_C,SpCond_uScm-1,BeamAtten_m-1,Transmiss_pct,DO_mgL-1,PAR_uEcm-2s-1,Turbidity_NTU,Particulate_Microcystin_ugL-1,Dissolved_Microcystin_ugL-1,Extracted_PC_ugL-1,Extracted_CHLa_ugL-1,Total_cyanobacteria_genes_copiesmL-1,mycE_genes_copiesmL-1
6/6/2022,WE9,2.596,0.75,Surface,13:16,13:31,41.717,-83.42455,9.7192,0.984252,overcast,0.25,21.9198375,459.2119167,13.19554167,3.692558333,7.013833333,307.7245833,27.6,bdl,0.15,1.6265853,56.695275,,
6/6/2022,WE12,6.55,0.75,Surface,12:08,12:25,41.70211667,-83.25506667,7.77536,1.31234,overcast,0.75,20.56092174,265.6631739,6.67643913,18.84153043,7.463308696,1069.46,9.23,bdl,bdl,bdl,3.23687,,
6/6/2022,WE12,,5.9,Bottom,,,,,,,,,20.36864615,266.4230385,7.831615385,14.11749615,6.764292308,0.681197692,ns,bdl,bdl,bdl,2.92487,,
6/6/2022,WE13,8.814,0.75,Surface,10:43,11:07,41.74326667,-83.13606667,11.079888,1.31234,overcast,1.75,19.68184545,252.9930909,2.548118182,52.88661818,8.003863636,1222.090909,3.42,bdl,bdl,bdl,4.37437,,
6/6/2022,WE13,,8.2,Bottom,,,,,,,,,19.53223226,255.6031935,2.31093871,56.11719677,7.734206452,14.21474194,ns,bdl,bdl,bdl,3.62687,,
6/6/2022,WE16,5.773,0.75,Surface,11:29,11:42,41.65741667,-83.14493333,11.66304,1.31234,overcast,ns,20.40238846,251.9962692,2.314807692,56.06268462,7.457673077,933.2638462,6.51,bdl,bdl,bdl,2.79487,,
6/21/2022,WE2,5.563,0.75,Surface,12:39,12:56,41.76228333,-83.33136667,5.83152,0.1,clear,2.5,23.27526207,306.7913793,1.029058621,77.31702069,7.123924138,2086.268966,2.9,bdl,0.16,0.2,3.3735,,
6/21/2022,WE2,,4.6,Bottom,,,,,,,,,22.21354286,305.4327857,1.287571429,72.47999643,6.214653571,185.5764286,ns,bdl,0.13,0.18,3.432,,
6/21/2022,WE4,8.394,0.75,Surface,9:08,9:26,41.82616667,-83.19675,13.023728,0.984252,clear,2.5,21.00773846,245.4001538,0.867661539,80.49994615,8.284,224.0007692,1.25,bdl,0.17,0.19,4.628,,
6/21/2022,WE6,2.766,0.75,Surface,11:36,11:53,41.70506667,-83.38653333,5.83152,0.656168,clear,1.25,23.9006,429.5099615,2.597753846,52.23605385,6.298369231,468.6234615,9.26,bdl,0.2,0.72,10.8745,,
6/21/2022,WE8,4.869,0.75,Surface,8:14,8:40,41.83456667,-83.3613,13.995648,0.984252,clear,1.75,22.3756381,347.328381,2.215352381,59.51212857,7.392995238,240.807619,3.37,bdl,0.22,0.17,2.444,,
6/21/2022,WE8,,4,Bottom,,,,,,,,,22.38772632,346.3328421,0.912921053,79.59464211,6.651473684,12.73310526,ns,bdl,0.12,0.48,1.8525,,
6/21/2022,WE9,3.666,0.75,Surface,12:04,12:19,41.7174,-83.4233,5.83152,0.656168,clear,0.25,24.304872,454.25468,nd,nd,5.391376,702.6508,30.6,bdl,0.21,0.4,18.59,,
6/21/2022,WE12,6.597,0.75,Surface,10:58,11:11,41.70283333,-83.25395,5.83152,0.656168,clear,1,22.86987308,310.2155769,3.731742308,39.34085,6.9292,285.2469231,8.87,0.15,0.31,0.44,9.2105,,
6/21/2022,WE12,,5.8,Bottom,,,,,,,,,22.36098077,304.3946538,5.369784615,26.28669231,5.699630769,2.332984615,ns,bdl,0.2,0.17,8.3005,,
