"","Depth_category","Temp","DO","MC","Chla","PC"
"104","Bottom",24.51512632,8.0186,0.3,65.33,48.58
"105","Surface",24.58192,7.39959,0.26,11.04,2.81
"106","Bottom",24.5913,7.59106,0.13,10.61,2.17
"107","Surface",24.56819231,7.6861,0.25,14.62,5.37
"108","Scum",NA,NA,0.5,134.67,92.04
"109","Surface",26.07353636,7.730209091,0.43,170.9,66.81
"110","Bottom",25.84627368,7.587821053,0.22,96.28,50.69
"111","Surface",25.58531667,7.0811,1.04,49.05,22.4
"112","Surface",25.95328421,7.366873684,0.35,143.42,53.48
"113","Surface",25.70180526,7.548594737,0.43,64.06,22.93
"114","Bottom",25.77535833,7.263283333,0.12,56.15,24.27
"115","Surface",25.91271667,7.4162,0.21,122.3,38.16
"116","Surface",25.63001818,7.633154545,0.18,20.41,6.27
"117","Bottom",25.79215238,7.708185714,0.44,20.22,5.17
"118","Surface",25.49176364,7.6502,0.26,21.58,12.44
"119","Bottom",25.57846364,7.529963636,0.14,20.54,9.05
"120","Surface",25.58676471,7.223135294,0.1,12.75,2.12
"121","Surface",24.05398421,7.941521053,0.52,125.49,114.6
"122","Bottom",23.46295833,8.8202,0.42,100.01,83.89
"123","Surface",23.65240556,7.912088889,0.22,37.25,26.43
"124","Surface",23.45165,8.4467,0.24,50.23,27.74
"125","Surface",23.81576667,7.688219048,0.35,92.09,70.15
"126","Bottom",23.831,7.929616667,0.34,87.63,70.71
"127","Surface",24.3187875,8.612725,0.35,152.79,110.32
"128","Surface",23.1082,7.93506,0.41,84.18,85.22
"129","Bottom",23.12944545,7.495645455,0.46,89.73,78.1
"130","Surface",23.98886667,6.94477037,0.2,17.75,5.86
"131","Bottom",24.01278571,7.308007143,0.13,17.16,9.82
"132","Surface",23.72751667,8.032811111,0.17,27.63,30.66
"133","Surface",24.81406923,12.02141538,0.55,127.86,119.84
"134","Bottom",24.1645,10.75143571,0.53,91.09,106.24
"135","Scum",NA,NA,2.81,533.26,444.86
"136","Surface",23.77168333,7.508920833,0.19,20.51,17.93
"137","Surface",23.86379259,11.78392963,0.39,190.19,191.16
"138","Scum",NA,NA,0.77,1681.29,1142.34
"139","Surface",24.57861364,7.098436364,0.36,72.16,42.05
"140","Bottom",24.49981905,5.3743,0.39,73.53,48.62
"141","Surface",25.38553913,6.937104348,0.36,107.84,92.17
"142","Scum",NA,NA,0.99,873.99,570.98
"143","Surface",24.51422727,7.874004545,0.34,32.11,20.6
"144","Bottom",23.92110909,6.997631818,0.23,32.7,14.77
"145","Surface",24.29304091,7.424418182,0.18,27.69,21.35
"146","Bottom",24.08366364,6.001190909,0.17,24.9,14.75
"147","Surface",24.34611364,7.315909091,0.48,21,10
"148","Scum",NA,NA,4.66,1246.05,862.74
"149","Surface",24.201825,7.646625,0.67,86.72,NA
"150","Bottom",24.09937778,6.941166667,0.56,85.09,NA
